epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.4482,1.37538,3.47619,1.64003,0.00445,0.33777,0.18007,0.09791,1.14216,3.74651,1.76845,5e-05,5e-05,5e-05
2,30.1435,1.22437,3.2948,1.50319,0.00593,0.39362,0.24931,0.15865,0.97641,3.67468,1.50754,0.000108787,0.000108787,0.000108787
3,44.6434,1.04038,2.75563,1.34569,0.00971,0.53723,0.3817,0.23961,0.85106,3.5304,1.29771,0.00016345,0.00016345,0.00016345
4,59.2835,1.01979,2.02486,1.3093,0.02132,0.68085,0.56898,0.37778,0.89407,3.24518,1.2836,0.000213988,0.000213988,0.000213988
5,72.9973,0.94314,1.46348,1.24242,0.02911,0.68617,0.57358,0.35536,0.86282,3.16695,1.23402,0.0002604,0.0002604,0.0002604
6,86.5765,0.96909,1.34451,1.25645,0.99462,0.16667,0.62037,0.43471,0.86642,3.09906,1.23095,0.000302688,0.000302688,0.000302688
7,99.9825,0.92987,1.1904,1.22394,0.97731,0.26353,0.62318,0.48431,0.85348,2.87036,1.21393,0.00034085,0.00034085,0.00034085
8,113.534,0.90335,1.07547,1.19471,0.99246,0.27197,0.61053,0.48157,0.85523,2.84074,1.20334,0.000374887,0.000374887,0.000374887
9,127.301,0.87441,1.01968,1.1813,0.97822,0.32491,0.6288,0.50181,0.8271,2.76282,1.18522,0.0004048,0.0004048,0.0004048
10,141.923,0.88722,1.00778,1.22937,0.9608,0.35106,0.65349,0.52179,0.81939,2.4896,1.19976,0.000430588,0.000430588,0.000430588
11,156.342,0.88072,1.00273,1.2053,0.88947,0.43883,0.72042,0.56698,0.82382,2.16378,1.17972,0.00045225,0.00045225,0.00045225
12,170.334,0.8853,0.94616,1.18135,0.93999,0.43351,0.73321,0.59154,0.77456,2.10905,1.14434,0.000469788,0.000469788,0.000469788
13,184.495,0.87603,0.96421,1.19344,0.82278,0.48594,0.82604,0.646,0.80226,2.04395,1.17365,0.0004832,0.0004832,0.0004832
14,198.437,0.84228,0.87861,1.15778,0.79083,0.65209,0.87668,0.68753,0.75916,2.00193,1.16001,0.000492487,0.000492487,0.000492487
15,212.636,0.8424,0.86112,1.15841,0.89583,0.65329,0.85724,0.69747,0.73056,1.82483,1.10726,0.00049765,0.00049765,0.00049765
16,226.37,0.81402,0.86627,1.15307,0.92721,0.68764,0.92931,0.73369,0.77254,1.6964,1.13323,0.000498687,0.000498687,0.000498687
17,240.228,0.81635,0.81531,1.12729,0.90619,0.76543,0.9612,0.76233,0.75602,1.3476,1.11399,0.0004956,0.0004956,0.0004956
18,253.633,0.81469,0.85093,1.14696,0.86756,0.75749,0.95878,0.76652,0.73193,1.33876,1.09917,0.000488387,0.000488387,0.000488387
19,267.195,0.78544,0.81975,1.10419,0.87835,0.76645,0.96199,0.77447,0.71565,1.32633,1.09513,0.00047705,0.00047705,0.00047705
20,280.781,0.80157,0.79159,1.10727,0.90707,0.82755,0.96967,0.78655,0.71177,1.25944,1.09798,0.000461588,0.000461588,0.000461588
21,294.038,0.72345,0.97206,1.12535,0.89594,0.85254,0.972,0.77182,0.76298,1.34124,1.20366,0.000425,0.000425,0.000425
22,307.192,0.67034,0.85098,1.0948,0.87924,0.86902,0.96993,0.76402,0.76542,1.43653,1.22199,0.00038375,0.00038375,0.00038375
23,320.201,0.71866,0.87446,1.13032,0.90834,0.92104,0.97477,0.79543,0.70426,1.183,1.16663,0.0003425,0.0003425,0.0003425
24,333.297,0.63879,0.80166,1.09071,0.92859,0.91896,0.98027,0.79381,0.72884,1.02997,1.14674,0.00030125,0.00030125,0.00030125
25,346.3,0.66627,0.77423,1.06236,0.92845,0.921,0.98325,0.79653,0.71408,0.97871,1.12171,0.00026,0.00026,0.00026
26,359.443,0.64615,0.77855,1.07109,0.94498,0.93778,0.98496,0.82425,0.64109,0.867,1.06347,0.00021875,0.00021875,0.00021875
27,372.775,0.63242,0.73543,1.05926,0.95457,0.95495,0.9858,0.83022,0.6291,0.83326,1.0585,0.0001775,0.0001775,0.0001775
28,386.009,0.63004,0.7135,1.04943,0.95201,0.96091,0.9854,0.82946,0.62345,0.8252,1.05367,0.00013625,0.00013625,0.00013625
29,399.051,0.5985,0.70779,1.02785,0.95292,0.96672,0.9865,0.83592,0.59666,0.78616,1.03071,9.5e-05,9.5e-05,9.5e-05
30,412.365,0.58649,0.69901,1.01179,0.96382,0.96876,0.98783,0.84335,0.58176,0.74464,1.01748,5.375e-05,5.375e-05,5.375e-05
